experiment,data_type,test_data,num_train,train_breakdown,train_type,num_test,test_breakdown,test_type,num_overlap,overlap_type,th_runs,subset,plda_rank,c_fa,c_miss,p_target,O1,O2,train-test_split,output_data,output_metrics,mindcf_fp_rate,mindcf_precision,mindcf_recall,mindcf_mcc,mindcf_fscore,mindcf_accuracy,mindcf_confusion,mindcf_threshold,mindcf_average,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_12.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_12_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_12_r100_s100metrics.json,3.64E-05,0.833333333,1,0.912854328,0.909090909,0.999963636,"[[    5     0]
 [    1 27494]]",16.94163844,0.001326516,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_10.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_10_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_10_r100_s100metrics.json,0.000145481,0.555555556,1,0.745301773,0.714285714,0.999854545,"[[    5     0]
 [    4 27491]]",16.8054983,0.001582637,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_13.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_13_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_13_r100_s100metrics.json,0.000145481,0.5,0.8,0.63237502,0.615384615,0.999818182,"[[    4     1]
 [    4 27491]]",16.63507208,0.001364461,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_11.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_11_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_11_r100_s100metrics.json,0.000145481,0.5,0.8,0.63237502,0.615384615,0.999818182,"[[    4     1]
 [    4 27491]]",16.32604572,0.001392298,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_14.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_14_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_14_r100_s100metrics.json,7.27E-05,0.714285714,1,0.845123516,0.833333333,0.999927273,"[[    5     0]
 [    2 27493]]",16.77387903,0.001376335,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_18.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_18_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_18_r100_s100metrics.json,0,1,1,1,1,1,"[[    5     0]
 [    0 27495]]",16.59004675,0.001670425,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_15.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_15_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_15_r100_s100metrics.json,0.000109111,0.5,0.6,0.547632912,0.545454545,0.999818182,"[[    3     2]
 [    3 27492]]",16.6995396,0.001401403,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_16.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_16_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_16_r100_s100metrics.json,0.000109111,0.625,1,0.790526284,0.769230769,0.999890909,"[[    5     0]
 [    3 27492]]",16.76245747,0.001423513,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_17.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_17_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_17_r100_s100metrics.json,7.27E-05,0.714285714,1,0.845123516,0.833333333,0.999927273,"[[    5     0]
 [    2 27493]]",16.8932556,0.001509889,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_19.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_19_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_19_r100_s100metrics.json,0.000109111,0.625,1,0.790526284,0.769230769,0.999890909,"[[    5     0]
 [    3 27492]]",16.15605432,0.001326,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_r100_s100metrics.json,0.000254592,0,0,-0.000215177,nan,0.999563636,"[[    0     5]
 [    7 27488]]",16.69545063,0.001250913,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_1.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_1_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_1_r100_s100metrics.json,0.000436443,0,0,-0.000281759,nan,0.999381818,"[[    0     5]
 [   12 27483]]",17.01938503,0.001388288,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_2.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_2_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_2_r100_s100metrics.json,0.000363702,0,0,-0.0002572,nan,0.999454545,"[[    0     5]
 [   10 27485]]",16.68771971,0.001208952,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_3.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_3_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_3_r100_s100metrics.json,0.000436443,0,0,-0.000281759,nan,0.999381818,"[[    0     5]
 [   12 27483]]",17.04315701,0.001445607,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_6.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_6_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_6_r100_s100metrics.json,0.000472813,0,0,-0.000293269,nan,0.999345455,"[[    0     5]
 [   13 27482]]",17.15904239,0.001165392,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_8.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_8_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_8_r100_s100metrics.json,0.000436443,0.076923077,0.2,0.123782073,0.111111111,0.999418182,"[[    1     4]
 [   12 27483]]",16.49553606,0.001602086,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_7.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_7_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_7_r100_s100metrics.json,0.000290962,0,0,-0.000230038,nan,0.999527273,"[[    0     5]
 [    8 27487]]",16.92042917,0.001310861,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_5.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_5_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_5_r100_s100metrics.json,0.000363702,0,0,-0.0002572,nan,0.999454545,"[[    0     5]
 [   10 27485]]",16.67110941,0.001377507,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_9.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_9_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_9_r100_s100metrics.json,0.000218221,0.142857143,0.2,0.168852561,0.166666667,0.999636364,"[[    1     4]
 [    6 27489]]",17.37095188,0.001503547,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_12.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_12_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_12_r100_s100metrics.json,0.000290962,0,0,-0.000230038,nan,0.999527273,"[[    0     5]
 [    8 27487]]",17.04478885,0.001453031,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_10.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_10_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_10_r100_s100metrics.json,0.000290962,0,0,-0.000230038,nan,0.999527273,"[[    0     5]
 [    8 27487]]",17.05083547,0.001283498,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_11.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_11_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_11_r100_s100metrics.json,0.000327332,0,0,-0.000243997,nan,0.999490909,"[[    0     5]
 [    9 27486]]",16.84852851,0.00131175,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_14.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_14_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_14_r100_s100metrics.json,0.000436443,0,0,-0.000281759,nan,0.999381818,"[[    0     5]
 [   12 27483]]",16.75593376,0.001479288,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_15.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_15_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_15_r100_s100metrics.json,0.000436443,0,0,-0.000281759,nan,0.999381818,"[[    0     5]
 [   12 27483]]",16.98400778,0.001346608,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_13.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_13_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_13_r100_s100metrics.json,0.000327332,0,0,-0.000243997,nan,0.999490909,"[[    0     5]
 [    9 27486]]",17.53193496,0.001189985,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_16.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_16_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_16_r100_s100metrics.json,0.000472813,0,0,-0.000293269,nan,0.999345455,"[[    0     5]
 [   13 27482]]",17.15126501,0.001231626,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_17.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_17_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_17_r100_s100metrics.json,0.000618294,0,0,-0.00033539,nan,0.9992,"[[    0     5]
 [   17 27478]]",17.30440818,0.001303623,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_19.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_19_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_19_r100_s100metrics.json,0.000363702,0,0,-0.0002572,nan,0.999454545,"[[    0     5]
 [   10 27485]]",17.01115104,0.001485324,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_18.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_18_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_18_r100_s100metrics.json,0.000109111,0,0,-0.000140856,nan,0.999709091,"[[    0     5]
 [    3 27492]]",17.03520133,0.001335684,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),vowel,5,vowel,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/vowel/ms_tr500_all_te55_1_o5_s_4.csv,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_4_r100_s100data.json,./Speech_risk/outputs/task-across/vowel/both_ms_tr500_all_te55_1_o5_s_4_r100_s100metrics.json,0.000218221,0,0,-0.000199212,nan,0.9996,"[[    0     5]
 [    6 27489]]",16.83841259,0.001251776,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),amr,5,amr,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/amr/ms_tr500_all_te55_1_o5_s_3.csv,./Speech_risk/outputs/task-across/amr/both_ms_tr500_all_te55_1_o5_s_3_r100_s100data.json,./Speech_risk/outputs/task-across/amr/both_ms_tr500_all_te55_1_o5_s_3_r100_s100metrics.json,3.64E-05,0,0,-8.13E-05,nan,0.999781818,"[[    0     5]
 [    1 27494]]",17.24333127,0.001244634,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),amr,5,amr,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/amr/ms_tr500_all_te55_1_o5_s_2.csv,./Speech_risk/outputs/task-across/amr/both_ms_tr500_all_te55_1_o5_s_2_r100_s100data.json,./Speech_risk/outputs/task-across/amr/both_ms_tr500_all_te55_1_o5_s_2_r100_s100metrics.json,0,nan,0,nan,nan,0.999818182,"[[    0     5]
 [    0 27495]]",17.76441673,0.001155301,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),amr,5,amr,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/amr/ms_tr500_all_te55_1_o5_s_4.csv,./Speech_risk/outputs/task-across/amr/both_ms_tr500_all_te55_1_o5_s_4_r100_s100data.json,./Speech_risk/outputs/task-across/amr/both_ms_tr500_all_te55_1_o5_s_4_r100_s100metrics.json,3.64E-05,0,0,-8.13E-05,nan,0.999781818,"[[    0     5]
 [    1 27494]]",17.58192257,0.001353739,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),amr,5,amr,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/amr/ms_tr500_all_te55_1_o5_s.csv,./Speech_risk/outputs/task-across/amr/both_ms_tr500_all_te55_1_o5_s_r100_s100data.json,./Speech_risk/outputs/task-across/amr/both_ms_tr500_all_te55_1_o5_s_r100_s100metrics.json,0,nan,0,nan,nan,0.999818182,"[[    0     5]
 [    0 27495]]",17.8947808,0.001279035,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),amr,5,amr,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/amr/ms_tr500_all_te55_1_o5_s_5.csv,./Speech_risk/outputs/task-across/amr/both_ms_tr500_all_te55_1_o5_s_5_r100_s100data.json,./Speech_risk/outputs/task-across/amr/both_ms_tr500_all_te55_1_o5_s_5_r100_s100metrics.json,7.27E-05,0,0,-0.000115007,nan,0.999745455,"[[    0     5]
 [    2 27493]]",17.21989555,0.001276251,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),amr,5,amr,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/amr/ms_tr500_all_te55_1_o5_s_6.csv,./Speech_risk/outputs/task-across/amr/both_ms_tr500_all_te55_1_o5_s_6_r100_s100data.json,./Speech_risk/outputs/task-across/amr/both_ms_tr500_all_te55_1_o5_s_6_r100_s100metrics.json,0,nan,0,nan,nan,0.999818182,"[[    0     5]
 [    0 27495]]",16.6162394,0.001211621,,,,,,,
